Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Shire,,Shire,"slightly semigloss black, bald face or blaze, black mane/tail, white feathers, grey hooves",1985,Riegseckers(300 made)Sold in set with four other Riegseckers
Shire,,Shire,"semigloss smoke grey, bald face, darker grey mane/tail, white feathers",1985,Riegseckers(300 made)Sold in set with four other Riegseckers
Shire,,Shire,"semigloss palomino, bald face, light yellow mane/tail, white feathers",1985,Riegseckers(300 made)Sold in set with four other Riegseckers
Shire,,Dappled Blood Bay Shire,"mahogany bay, black points, white feathers",1995,BreyerFestLive Auction(1 made)
Shire,,American Cream Shire with Two-Color Eyes,"cream, white mane/tail, feathers",1995,BreyerFestLive Auction(1 made)
Shire,,Super Spotted Black Leopard Appaloosa,black leopard/dappled,1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Shire,,Blood Bay Sabino,"bay sabina, wide blaze, black points, four high stockings/feathers",2002,BreyerFestLive Auction(1 made)
Shire,,Glossy Red Bay Wild Sabino Shire #95,"glossy red bay wild sabino, bald face, pink muzzle, black points, high white stockings/feathers",2010,BreyerFestLive Auction(1 made)
Friesian,485,Friesian,"black, no white markings, black mane/tail, dark brown or black hooves",1992-1995,With hang tag.Some with a slightly charcoal grey cast to body
Friesian,943,"JB Andrew, Adopt a Horse Drafter Type","semi-gloss black, black mane/tail, black or bi-color eyes,  white freeze bran on left side of neck",1996-1997,
Friesian,1148,The Gypsy King,"black pinto, black tail, bi-color mane, white muzzle shaded pink, dark nostrils, lip spots",2000-2007,
Friesian,1148,The Gypsy King,"black pinto, black tail, bi-color mane, white muzzle shaded pink, dark nostrils",,No lip spots variation
Friesian,1788,"Let's Go Rising Western SetWith doll, western riding tack","palomino, white mane/tail, three stockings, not near hind",2018,Let's Go Ridingseries
Friesian,1805,Harley Daisy's Chief Dane,"black blanket, black mane/tail",2018-present,Note variations in masking
Friesian,1805,Glossy Harley Daisy's Chief Dane,"glossy black blanket, black mane/tail",2019,"BreyerFestYouth and Open Show prize(50 made)With Certificate of Authenticity. Stamped ""BreyerFest 2019 30th Anniversary"" on belly."
Friesian,3175,"Action Drafters, Big and SmallWithClydesdale(Paddock Pal)","dark dappled bay, solid face, black points, near hind sock",1994-1995,
Friesian,410397,Kris Kringle,"light dappled grey, mostly white head, back and croup, grey shading, black with white ""sparkle"" dots, white mane with charcoal stripes, charcoal and white tail, four stockings",1997,"West Coast Model Horse Collector's Jamboree(1,200 made)With hang tag."
Friesian,410600,"Lotsof SpotsWithRunning Foal,Dalmatian","black leopard, shaded points",2000,JCPenneyHoliday Catalog
Friesian,430040,Red Roan Friesian Test Run,red roan,2019,Test Piece Raffle(1 made)
Friesian,700499,Jack Frost,"speckled grey, darker points",1999,"Holiday Horse""Seasons Greeting '99"" on belly"
Friesian,711105,Fire Magic,"shaded brown bay, dappled, darker points",2005,"BreyerFestCelebration Model(5,524 made)"
Friesian,711187,AthosWith blanket,"light grey, dark grey tail, shaded muzzle",2014,BreyerFestStore Special(750 made)
Friesian,711388,Feis,buttermilk buckskin tobiano,2020,"BreyerFestDiorama prize(28 made)With Certificate of Authenticity. Stamped ""BreyerFest 2020"" on belly."
Friesian,711516,Montanara,"flaxen chestnut, two socks, blaze",2022,"BreyerFestStore Special(3,000 made)Stamped ""BreyerFest 2022"
Friesian,760498,Dashing Dan,"palomino/sorrel, low blaze, flaxen mane/tail, stripe, shaded muzzle, hocks and knees, four stockings",1998,SearsHoliday Catalog
Friesian,,Mahogany Bay,mahogany bay,1998,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Friesian,,Dusty Chestnut Christmas Horse to match Breyer Holiday Stirrup ornament,dusty chestnut,1999,BreyerFestLive Auction(1 made)
Friesian,,Metallic Cobalt Blue with Black Shading,cobalt blue,2000,BreyerFestLive Auction(1 made)
Friesian,,Glossy Rose Lavender Unicorn,glossy rose lavender,2004,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Friesian,,Black dappled pearl blueware with engraving,black dappled pearl,2012,BreyerFestLive Auction(1 made)
Shire Gelding,1781,Markus,"dark liver chestnut, flaxen mane/tail, near hind sock",2017,"Brick and Mortar stores only.(3,000 made)"
Shire Gelding,1793,Grey Shire,"light grey, blaze, shaded knees",2018-2020,
Shire Gelding,1793,Glossy Grey Shire,"glossy light grey, blaze, shaded knees",2018,Web Special(~110 made)
Shire Gelding,90180,Shannondell,"dappled bay sabino, bald face, black points, four high stockings",2016,Premier CollectionBraided mane/tail. With Certificate of Authenticity
Shire Gelding,,ShannondellFirst Production Piece,"dappled bay sabino, bald face, black points, four high stockings",2016,Premier Collection(1 made)On wooden base.
Shire Gelding,90183,Shannondell,"dappled bay sabino, bald face, black points, four high stockings",2016,Premier CollectionLoose mane/tail. With Certificate of Authenticity
Shire Gelding,700123,Yuletide Greetings,light bay,2020,Holiday Horse
Shire Gelding,711261,Vahana,"red bay pinto, wide blaze, four high stockings",2017,"BreyerFestSpecial Run(1,700 made)Stamped ""BreyerFest 2017"" on belly."
Shire Gelding,711296,Woodford,silver dapple black tobiano,2018,"BreyerFestSaturday Raffle/Live Auction(26 made)""BreyerFest 2018"" stamped on belly. With Certificate of Authenticity (auction only)"
Shire Gelding,711378,Benelli,"blue roan pinto, silver and blue ribbons",2020,"BreyerFestStore Special(1,250 made)"
Shire Gelding,711472,Glossy Benelli,"glossy blue roan pinto, silver and blue ribbons",2020,"BreyerFestPreorder(2,675 made)"
Shire Gelding,711620,Wells,"silver dapple black, blaze and four stockings",2023,"BreyerFestSpecial Run(1,150 made)Stamped ""BreyerFest 2023''"
Shire Gelding,711620,Wells,"glossy silver dapple black, blaze and four stockings",2023,"BreyerFestSpecial Run(1,150 made)Stamped ""BreyerFest 2023''"
Shire Gelding,712283,Claude,"glossy charcoal, white points",2019,Vintage ClubExclusive(470 made)
Shire Gelding,712283,Claude,"matte charcoal, white points",2019,Vintage ClubExclusive(30 made)
Shire Gelding,712429,Gawain,"flocked white, white, blue and pink mane, silver horn, black hooves, garland of blue roses",2022,Vintage ClubExclusive(750 made)
Shire Gelding,712440,Cardinal,chestnut sabino,2022,"Birds of a Feather(500 made)""Cardinal 2022"" stamped on belly."
Shire Gelding,,Glossy Metallic Blue Shannondell,"glossy metallic blue, black points, black mane and tail, four stockings, diamond, snip, factory custom mane and tail, pink and green ribbon",2016,Test Run by Karen Gerhardt(1 made)With Certificate of Authenticity
Shire Gelding,,Chestnut Sabino Tobiano Shannondell,chestnut sabino tobiano,2017,BreyerFestLive Auction(1 made)
Shire Gelding,,Bay Leopard Appaloosa,bay leopard appaloosa,2022,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Friesian Sporthorse,1865,Battlefield Angel HP,black tobiano,2022-present,
Friesian Sporthorse,1879,Leif,"coppery bay with orange, green and red interference and shading. Golden leaves swirling all over the body, brown mane with green edges, green hooves.",2023,
Friesian Sporthorse,90197,Vermeer,leopard appaloosa,2020,Premier Collection
Friesian Sporthorse,711496,Seurat,"dappled sooty palomino, pearlescent mane/tail",2021,"BreyerFestSpecial Run(1,000 made)"
Friesian Sporthorse,711496G,Seurat,"glossy dappled sooty palomino, pearlescent mane/tail",2021,"BreyerFestSpecial Run(1,000 made)"
Friesian Sporthorse,,Chalky Dappled Grey Tobiano,chalky dappled grey tobiano,2021,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Friesian Sporthorse,,Glossy Pearly Reverse Dapple Blue Roan,glossy pearly reverse dapple blue roan,2023,"BreyerFestLive Auction(1 made, sold for $13,000)With Certificate of Authenticity"
Show Jumper (Show Jumping Warmblood),579,Show Jumping Warmblood,chestnut,2004-2005,
Show Jumper (Show Jumping Warmblood),1200,"Ideal, Oldenburg Stallion",dappled grey,2004-2007,At least some are known missing the brand (see third photo)
Show Jumper (Show Jumping Warmblood),1200G,"Glossy Ideal, Oldenburg Stallion",glossy dappled grey,2005,BreyerFestLive Show Prize(4 made)
Show Jumper (Show Jumping Warmblood),1354,Mon Gamin,matte bay pinto,2008-2010,
Show Jumper (Show Jumping Warmblood),1354,Mon Gamin,semi-gloss bay pinto,2008-2010,
Show Jumper (Show Jumping Warmblood),1354G,Glossy Mon Gamin,glossy bay pinto,2009,BreyerFestLive Show Prize(30 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),1467,Cedric2008 Gold Medal winning U.S. Show Jumper,light grey,2011-2013,
Show Jumper (Show Jumping Warmblood),1467G,Cedric - Glossy,glossy light grey,2011,BreyerFestChild/Youth Live Show Section Champion Prize(30 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),1722,FlexibleWith fly bonnet,chestnut,2014-2015,
Show Jumper (Show Jumping Warmblood),1722,Signed Flexible model and poster,chestnut,2016,BreyerFest Silent Auction(1 made)
Show Jumper (Show Jumping Warmblood),1782,Sugarmaple,clearware fall decorator,2017,"(3,000 made)"
Show Jumper (Show Jumping Warmblood),1875,Washington,"glossy electric blue blanket appaloosa, black points, black mane and tail, stripe, sock",2023,
Show Jumper (Show Jumping Warmblood),9111,Cedric,light grey,2010,2010 World Equestrian Games(500 made)With hang tag. Same as #1467.
Show Jumper (Show Jumping Warmblood),90129,Inconspicuous,grey tobiano,2004,Connoisseur Series(350 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),90129G,Glossy Inconspicuous,glossy grey tobiano,2004,BreyerFestJAH New Subscriber Raffle(1 made)
Show Jumper (Show Jumping Warmblood),410144,Team USA Show Jumper Set,shaded chestnut,2004,JCPenneyHoliday Catalog
Show Jumper (Show Jumping Warmblood),430040,Show Jumping Warmblood Test Run,"splatter roan chestnut, irregular blaze, three socks",2017,Test Piece Raffle(1 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),700110,Jewel,"buckskin, shaded muzzle, eye whites, black points,",2010,Holiday Horse
Show Jumper (Show Jumping Warmblood),701604,Royal Kaliber,shaded bay,2004,USET(750 made)
Show Jumper (Show Jumping Warmblood),701604,Glossy Royal Kaliber,glossy shaded bay,2004,BreyerFestSilent Auction(1 made)
Show Jumper (Show Jumping Warmblood),710007,Twilight Terror,black with illuminated haunted house scene on body,2007,Halloween Series
Show Jumper (Show Jumping Warmblood),711130,Once Upon a Time,matte bay blanket,2011,"BreyerFestSpecial Run(375 made)""BreyerFest 2011"" stamped on belly"
Show Jumper (Show Jumping Warmblood),711130,Once Upon a Time,glossy bay blanket,2011,"BreyerFestSpecial Run(375 made)""BreyerFest 2011"" stamped on belly"
Show Jumper (Show Jumping Warmblood),711367,Ballynoe Castle RM,"bay, star, black points, off hind sock",2020,"BreyerFestCelebration Model(9,500 made)"
Show Jumper (Show Jumping Warmblood),711367,Glossy Ballynoe Castle RM,"glossy bay, star, black points, off hind sock",2020,BreyerFestRaffle Model(30 made according to COA)
Show Jumper (Show Jumping Warmblood),711434,Here'sTo You,matte chestnut,2014,BreyerFestVolunteer Model(162 made)
Show Jumper (Show Jumping Warmblood),711434,GlossyHere'sTo You,glossy chestnut,2014,BreyerFestVolunteer Model(3 made)
Show Jumper (Show Jumping Warmblood),712097,ApolloThird in theGreek Gods Series,glossy dappled dark palomino,2013,"Web Special(225 made)Stamped ""Limited Edition 2013"" on belly."
Show Jumper (Show Jumping Warmblood),712267,Bolo,dun,2018,Scottsdale Stampede(124 made)
Show Jumper (Show Jumping Warmblood),712500,Magpie,glossy metallic black and white tobiano with blue interference,2023,"Collector Club Web Special(500 made)Stamped ""Magpie 2023"" on belly."
Show Jumper (Show Jumping Warmblood),,Dark Dappled Dun Overo with Blue EyesJumper #579,dappled dun overo,2003,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Glossy Dark Silver and Pearl,glossy dark silver and pearl,2004,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),,Dappled Buckskin Tobiano Show Jumping Warmblood,dappled buckskin tobiano,2005,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Dun Overo,dun overo,2006,BreyerFestEarly Bird Raffle(1 made)
Show Jumper (Show Jumping Warmblood),,"Color Change Paint Appaloosa in the ""Inconspicuous"" Pattern",color change paint appaloosa,2006,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Purple Translucent,translucent purple,2007,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Richly Shaded Star DappledShow Jumper,dappled grey,2009,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Sunny,"yellow/gold ""sunshine"" pattern",2011,Sunshine CelebrationTable Centerpiece(20 made)
Show Jumper (Show Jumping Warmblood),,Test Run Wild Bay Appaloosa Show Jumping Warmblood,"bay blanket, black points",2014,NAMHSAAuction(1 made)With Certificate of Authenticity
Show Jumper (Show Jumping Warmblood),,Bay Roan on the Warmblood Show Jumper (mold #579),bay roan,2017,BreyerFestLive Auction(1 made)
Show Jumper (Show Jumping Warmblood),,Mold No. 579Show Jumping Warmblood with Connemara TailGlossy Flaxen Liver Chestnut,glossy flaxen liver chestnut,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Fury Prancer,P40,Prancer,"glossy dark brown, full blaze, four stockings, solid brown tail, gold bridle and breastcollar, chain reins, black or possibly brown old-style Western saddle",1955-1957/58,
Fury Prancer,P40,Black Beauty,"glossy black, gold, silver or black bridle and breastcollar, tail solid black or black with white tip, most with four socks/stockings, glossy chain reins, black old-style Western snap-on saddle or brown English saddle with red plastic saddle blanket",1955/56-1960/62,"Some with stenciled full blaze, some with V-shaped star, some with bald face and silver bridle and breastcollar"
Fury Prancer,P40,Black Beauty,"glossy black, gold, silver or black bridle and breastcollar, tail solid black or black with white tip, most with four socks/stockings, glossy chain reins, black old-style Western snap-on saddle or brown English saddle with red plastic saddle blanket",1955/56-1960/62,Version with bald face and silver bridle and breastcollar
Fury Prancer,P40,Black Beauty,"glossy black, gold or black bridle and breastcollar, tail solid black or black with white tip, most with four socks/stockings, glossy chain reins, black old-style Western snap-on saddle or brown English saddle with red plastic saddle blanket",1957/58-1965,"Version with black bridle and breastcollar, solid black tail"
Fury Prancer,P41,Prancer,"glossy black tobiano, bald face, four stockings, white mane, black tail with white tip, gold bridle and breastcollar, chain reins, black old-style Western saddle",1955-196/63,
Fury Prancer,P42,Prancer,"glossy brown tobiano, bald face, four stockings, white mane, chestnut tail with white tip, gold bridle and breastcollar, brown old-style Western saddle or brown English saddle with red plastic saddle blanket",1955-1960/62,
Fury Prancer,P42,Prancer,"glossy brown tobiano, bald face, four stockings, white mane, chestnut tail with white tip, gold bridle and breastcollar, brown old-style Western saddle or brown English saddle with red plastic saddle blanket",1955-1960/62,Color and saddle variation.
